Strain : Tensile strain (Extension) gauge length,100,mm,,,,
,,,,,,
Time,Extension,Load,,,,
(s),(mm),(N),Low Start,Low End,High Start,High End
50.044,0.39341,0.61449,,,,
50.144,0.48619,1.54106,,,,
50.244,0.57887,3.56434,,,,
50.344,0.67165,7.13044,,,,
50.441,0.76155,12.18408,,,,
50.518,0.83275,17.19613,,,,
50.584,0.89431,22.26524,,,,
50.62,0.92767,25.2805,,,,
50.621,0.92859,25.36633,,,,
50.622,0.92951,25.45234,,,,
50.722,0.91059,21.75072,,,,
50.767,0.86443,16.73917,,,,
50.829,0.80558,11.72545,,,,
50.918,0.72269,6.70344,,,,
51.018,0.6295,3.19171,,,,
51.118,0.53707,1.34445,,,,
51.218,0.4439,0.51848,,,,
51.318,0.35156,0.19749,,,,
51.418,0.25836,0.08912,,,,
51.518,0.16644,0.03917,,,,
51.618,0.07276,0.02845,,,,
51.697,-0.00005,0.02595,,,,
51.698,-0.00097,0.02634,,,,
51.699,-0.00189,0.02666,,,,
51.799,0.01625,0.03296,,,,
51.899,0.11504,0.05261,,,,
51.999,0.20844,0.10569,,,,
52.099,0.3013,0.23887,,,,
52.199,0.39406,0.61146,,,,
52.299,0.48687,1.53001,,,,
52.399,0.57953,3.53794,,,,
52.499,0.6723,7.11699,,,,
52.596,0.76219,12.15675,,,,
52.673,0.83342,17.17837,,,,
52.739,0.89497,22.24614,,,,
52.775,0.92834,25.27047,,,,
52.776,0.92926,25.35659,,,,
52.777,0.93018,25.44283,,,,
52.877,0.911,21.70391,,,,
52.923,0.864,16.6169,,,,
52.986,0.80432,11.57956,,,,
53.076,0.72051,6.5441,,,,
53.176,0.62734,3.10245,,,,
53.276,0.5349,1.288,,,,
53.376,0.44173,0.49086,,,,
53.476,0.34941,0.18966,,,,
53.576,0.2562,0.08094,,,,
53.676,0.16424,0.03701,,,,
53.776,0.07061,0.01816,,,,
53.853,-0.00035,0.01866,,,,
53.854,-0.00127,0.01848,,,,
53.855,-0.00219,0.01826,,,,
53.955,0.01594,0.03241,,,,
54.055,0.11473,0.0482,,,,
54.155,0.20811,0.11103,,,,
54.255,0.301,0.23802,,,,
54.355,0.39376,0.59734,,,,
54.455,0.48654,1.50048,,,,
54.555,0.5792,3.48767,,,,
54.655,0.67198,7.04706,,,,
54.752,0.76187,12.06797,,,,
54.829,0.8331,17.08053,,,,
54.895,0.89465,22.14194,,,,
54.931,0.92801,25.15425,,,,
54.932,0.92893,25.24066,,,,
54.933,0.92985,25.32729,,,,
55.033,0.91059,21.5943,,,,
55.079,0.86369,16.53312,,,,
55.142,0.804,11.49792,,,,
55.232,0.7202,6.49725,,,,
55.332,0.62703,3.05516,,,,
55.432,0.53459,1.2711,,,,
55.532,0.44142,0.48156,,,,
55.632,0.34908,0.18199,,,,
55.732,0.25588,0.08585,,,,
55.832,0.16395,0.04327,,,,
55.932,0.07025,0.02632,,,,
56.009,-0.00067,0.01579,,,,
56.01,-0.00159,0.01585,,,,
56.011,-0.00251,0.01586,,,,
56.111,0.01551,0.0363,,,,
56.211,0.11439,0.05061,,,,
56.311,0.20777,0.09838,,,,
56.411,0.30063,0.23285,,,,
56.511,0.39343,0.5844,,,,
56.611,0.48619,1.4823,,,,
56.711,0.57886,3.45238,,,,
56.811,0.67164,6.97509,,,,
56.908,0.76155,11.9988,,,,
56.986,0.83369,17.05083,,,,
57.052,0.89523,22.12417,,,,
57.087,0.92767,25.05104,,,,
57.088,0.9286,25.13682,,,,
57.089,0.92952,25.22276,,,,
57.189,0.91025,21.50283,,,,
57.235,0.86336,16.45187,,,,
57.298,0.8037,11.4255,,,,
57.389,0.71893,6.38977,,,,
57.489,0.62579,3.00192,,,,
57.589,0.53334,1.23981,,,,
57.689,0.44017,0.4691,,,,
57.789,0.34784,0.17823,,,,
57.889,0.25462,0.06992,,,,
