Strain : Tensile strain (Extension) gauge length,"100.00000",mm

Time,Extension,Load
(s),(mm),(N)
"8.53600","0.10981","0.17171"
"8.63600","0.14437","0.30504"
"8.73600","0.17900","0.48806"
"8.74200","0.18107","0.50136"
"8.74300","0.18142","0.50369"
"8.74400","0.18177","0.50606"
"8.74900","0.18351","0.52435"
"8.75400","0.18561","0.59406"
"8.75900","0.18930","0.71477"
"8.76400","0.19644","0.89540"
"8.76900","0.20917","1.16326"
"8.77400","0.22963","1.57568"
"8.77900","0.25980","2.25012"
"8.78400","0.30138","3.36978"
"8.78900","0.35576","5.21914"
"8.79400","0.42403","8.16001"
"8.79900","0.50690","12.59241"
"8.80400","0.60459","18.87008"
"8.80900","0.71679","27.21736"
"8.81400","0.84289","37.71754"
"8.81900","0.98202","50.28814"
"8.82400","1.13264","64.62376"
"8.82900","1.29218","80.30856"
"8.83400","1.45781","96.84029"
"8.83900","1.62718","113.73188"
"8.84400","1.79867","130.55353"
"8.84900","1.97134","145.17995"
"8.85400","2.14473","146.07014"
"8.85900","2.31871","134.96126"
"8.86400","2.49327","117.18364"
"8.86900","2.66835","96.53217"
"8.87400","2.84383","75.69035"
"8.87900","3.01955","56.39920"
"8.88400","3.19533","39.56578"
"8.88900","3.37101","25.63889"
"8.89400","3.54644","14.67858"
"8.89900","3.72155","6.49664"
"8.90400","3.89633","0.71151"
"8.90900","4.07078","-3.05952"
"8.91400","4.24495","-5.22441"
"8.91900","4.41888","-6.18742"
"8.92400","4.59261","-6.30665"
"8.92900","4.76620","-5.89530"
"8.93400","4.93971","-5.16435"
"8.93900","5.11315","-4.28135"
"8.94400","5.28654","-3.35750"
"8.94900","5.45991","-2.49908"
"8.95400","5.63326","-1.73531"
"8.95900","5.80659","-1.10881"
"8.96400","5.97988","-0.61786"
"8.96900","6.15315","-0.26297"
"8.97400","6.32640","-0.00916"
"8.97900","6.49963","0.15624"
"8.98400","6.67283","0.26398"
"8.98900","6.84600","0.31527"
"8.99400","7.01917","0.31956"
"8.99900","7.19230","0.29802"
"9.00400","7.36540","0.26154"
"9.00900","7.53849","0.22428"
"9.01400","7.71160","0.18624"
"9.01900","7.88472","0.16228"
"9.02400","8.05785","0.12934"
"9.02900","8.23100","0.10253"
"9.03400","8.40417","0.07702"
"9.03900","8.57735","0.06161"
"9.04400","8.75053","0.05000"
"9.04900","8.92370","0.04879"
"9.05400","9.09685","0.04497"
"9.05900","9.27002","0.03348"
"9.06400","9.44318","0.02751"
"9.06900","9.61633","0.02836"
"9.07400","9.78947","0.03009"
"9.07900","9.96260","0.03358"
"9.08400","10.13574","0.04108"
"9.08900","10.30889","0.04412"
"9.09400","10.48205","0.04478"
"9.09900","10.65522","0.04406"
"9.10400","10.82841","0.04539"
"9.10900","11.00160","0.04640"
"9.11400","11.17478","0.05168"
"9.11900","11.34795","0.04854"
"9.12400","11.52111","0.04227"
"9.12900","11.69425","0.03223"
"9.13400","11.86736","0.02751"
"9.13900","12.04046","0.02877"
"9.14400","12.21353","0.03362"
"9.14900","12.38658","0.03623"
"9.15400","12.55962","0.03150"
"9.15900","12.73265","0.03345"
"9.16400","12.90570","0.02840"
"9.16900","13.07877","0.03340"
"9.17400","13.25185","0.03852"
"9.17900","13.42495","0.04491"
"9.18400","13.59805","0.04699"
"9.18900","13.77116","0.04812"
"9.19400","13.94427","0.04696"
"9.19900","14.11737","0.03840"
"9.20400","14.29047","0.04301"
"9.20900","14.46358","0.04488"
"9.21400","14.63670","0.04695"
"9.21900","14.80980","0.04712"
"9.22400","14.98289","0.04172"
"9.22900","15.15597","0.03142"
"9.23400","15.32907","0.03072"
"9.23900","15.50217","0.02733"
"9.24400","15.67527","0.03071"
"9.24900","15.84836","0.03418"
"9.25400","16.02147","0.03435"
"9.25900","16.19457","0.03159"
"9.26400","16.36767","0.03505"
"9.26900","16.54075","0.03807"
"9.27400","16.71384","0.03696"
"9.27900","16.88693","0.03882"
"9.28400","17.06001","0.03757"
"9.28900","17.23308","0.03848"
"9.29400","17.40614","0.03843"
"9.29700","17.50997","0.03350"
