Strain : Tensile strain (Extension) gauge length,100,mm,Sample 24,,,
,,,,,,
Time,Extension,Load,,,,
(s),(mm),(N),Low Start,Low End,High Start,High End
42.315,1.37053,48.56791,,,,
42.415,1.37053,48.55593,,,,
42.515,1.37053,48.54111,,,,
42.615,1.37053,48.53004,,,,
42.715,1.37053,48.50704,,,,
42.815,1.37053,48.48735,,,,
42.915,1.37053,48.47635,,,,
43.015,1.37053,48.45981,,,,
43.115,1.37053,48.44622,,,,
43.215,1.37053,48.42359,,,,
43.315,1.37053,48.41188,,,,
43.415,1.37053,48.40298,,,,
43.515,1.37053,48.38433,,,,
43.615,1.37053,48.36069,,,,
43.715,1.37053,48.35266,,,,
43.815,1.37053,48.34022,,,,
43.915,1.37053,48.32811,,,,
44.015,1.37053,48.30116,,,,
44.115,1.37053,48.29531,,,,
44.215,1.37053,48.27666,,,,
44.315,1.37053,48.27112,,,,
44.415,1.37053,48.25513,,,,
44.515,1.37053,48.23169,,,,
44.615,1.37053,48.22456,,,,
44.715,1.37053,48.20926,,,,
44.815,1.37053,48.1973,,,,
44.915,1.37053,48.1743,,,,
45.015,1.37053,48.16574,,,,
45.115,1.37053,48.15303,,,,
45.215,1.37053,48.13387,,,,
45.315,1.37053,48.12167,,,,
45.415,1.37053,48.1079,,,,
45.515,1.37053,48.09943,,,,
45.615,1.37053,48.08348,,,,
45.715,1.37053,48.07504,,,,
45.815,1.37053,48.06987,,,,
45.915,1.37053,48.0485,,,,
46.015,1.37053,48.03411,,,,
46.115,1.37053,48.02401,,,,
46.215,1.37053,48.00004,,,,
46.315,1.37053,47.99313,,,,
46.415,1.37053,47.97598,,,,
46.515,1.37053,47.96415,,,,
46.615,1.37053,47.94735,,,,
46.715,1.37053,47.9415,,,,
46.815,1.37053,47.92711,,,,
46.915,1.37053,47.91643,,,,
47.015,1.37053,47.90217,,,,
47.115,1.37053,47.8822,,,,
47.215,1.37053,47.8715,,,,
47.315,1.37053,47.86102,,,,
47.415,1.37053,47.84633,,,,
47.515,1.37053,47.84128,,,,
47.615,1.37053,47.8271,,,,
47.715,1.37053,47.81225,,,,
47.815,1.37053,47.80147,,,,
47.915,1.37053,47.78489,,,,
48.015,1.37053,47.77667,,,,
48.115,1.37053,47.7677,,,,
48.215,1.37053,47.75395,,,,
48.315,1.37053,47.73675,,,,
48.415,1.37053,47.7334,,,,
48.515,1.37053,47.71364,,,,
48.615,1.37053,47.70506,,,,
48.715,1.37053,47.69667,,,,
48.815,1.37053,47.6911,,,,
48.915,1.37053,47.66631,,,,
49.015,1.37053,47.65885,,,,
49.115,1.37053,47.65681,,,,
49.215,1.37053,47.6377,,,,
49.315,1.37053,47.6272,,,,
49.415,1.37053,47.61483,,,,
49.515,1.37053,47.60537,,,,
49.615,1.37053,47.59657,,,,
49.715,1.37053,47.58782,,,,
49.815,1.37053,47.5774,,,,
49.915,1.37053,47.56079,,,,
50.015,1.37053,47.54914,,,,
50.115,1.37053,47.5359,,,,
50.215,1.37053,47.52709,,,,
50.315,1.37053,47.5168,,,,
50.415,1.37053,47.51161,,,,
50.515,1.37053,47.4978,,,,
50.615,1.37053,47.4903,,,,
50.714,1.37053,47.47063,,,,
50.715,1.37053,47.4707,,,,
50.75,1.37053,47.46998,,,,
50.85,1.35266,45.00785,,,,
50.931,1.31641,40.00292,,,,
51.031,1.2774,35.261,,,,
51.131,1.2388,30.97023,,,,
51.231,1.20006,27.04965,,,,
51.331,1.16122,23.48456,,,,
51.431,1.12247,20.22881,,,,
51.531,1.08415,17.29515,,,,
51.631,1.04551,14.56716,,,,
51.731,1.00683,12.12812,,,,
51.831,0.96808,9.93717,,,,
51.931,0.92915,8.01034,,,,
52.031,0.89075,6.37956,,,,
52.131,0.85209,4.95612,,,,
52.231,0.81339,3.7697,,,,
52.331,0.77456,2.81179,,,,
52.431,0.73575,2.04358,,,,
52.531,0.6974,1.46459,,,,
52.631,0.65877,1.01753,,,,
52.731,0.62001,0.70693,,,,
52.831,0.58142,0.48798,,,,
52.931,0.54258,0.33867,,,,
53.031,0.50427,0.25347,,,,
53.131,0.46561,0.21004,,,,
53.231,0.42679,0.17932,,,,
53.331,0.38804,0.16247,,,,
53.431,0.34923,0.14814,,,,
53.531,0.31081,0.14379,,,,
53.631,0.27213,0.13689,,,,
53.731,0.23335,0.13478,,,,
53.831,0.19462,0.13313,,,,
53.931,0.15607,0.12871,,,,
54.031,0.11758,0.11886,,,,
54.131,0.07897,0.11656,,,,
54.231,0.04013,0.1153,,,,
54.29,0.01736,0.1239,,,,
54.291,0.01698,0.12393,,,,
54.292,0.0166,0.12394,,,,
54.392,0.01872,0.13239,,,,
54.492,0.06173,0.12566,,,,
54.592,0.10092,0.13244,,,,
54.692,0.13976,0.1457,,,,
54.792,0.17848,0.14667,,,,
54.892,0.21747,0.15201,,,,
54.992,0.25611,0.16408,,,,
55.092,0.29466,0.18829,,,,
55.192,0.33337,0.2054,,,,
55.292,0.37208,0.246,,,,
55.392,0.41086,0.30554,,,,
55.492,0.44942,0.3974,,,,
55.592,0.48793,0.56671,,,,
55.692,0.52643,0.8274,,,,
55.792,0.56522,1.21715,,,,
55.892,0.60385,1.75633,,,,
55.992,0.64258,2.48048,,,,
56.092,0.68107,3.40762,,,,
56.192,0.7198,4.5608,,,,
56.292,0.75875,5.96316,,,,
56.392,0.79745,7.61398,,,,
56.492,0.83601,9.51205,,,,
56.592,0.87459,11.63118,,,,
56.692,0.91314,13.9373,,,,
56.792,0.95206,16.499,,,,
56.892,0.9906,19.20588,,,,
56.992,1.02915,22.08614,,,,
57.092,1.06761,25.13507,,,,
57.192,1.1062,28.33948,,,,
57.292,1.1453,31.71219,,,,
57.392,1.18392,35.15379,,,,
57.492,1.22253,38.68198,,,,
57.592,1.26113,42.31583,,,,
57.692,1.29985,46.01352,,,,
57.792,1.33881,49.81584,,,,
57.875,1.37072,52.97855,,,,
57.876,1.37111,53.01761,,,,
57.877,1.3715,53.05668,,,,
57.977,1.38389,53.49154,,,,
58.077,1.3818,52.67148,,,,
58.177,1.38038,52.14374,,,,
58.277,1.37966,51.76733,,,,
58.377,1.37936,51.48188,,,,
58.477,1.37934,51.27175,,,,
58.577,1.37925,51.08787,,,,
58.677,1.37925,50.92276,,,,
58.777,1.37925,50.7863,,,,
58.877,1.37925,50.65149,,,,
58.977,1.37925,50.53892,,,,
59.077,1.37925,50.4295,,,,
59.177,1.37925,50.33261,,,,
59.277,1.37925,50.2338,,,,
59.377,1.37925,50.15024,,,,
59.477,1.37925,50.06428,,,,
59.577,1.37925,49.98973,,,,
59.677,1.37925,49.9192,,,,
59.777,1.37925,49.85451,,,,
59.877,1.37925,49.77888,,,,
59.977,1.37925,49.71712,,,,
60.077,1.37917,49.65619,,,,
60.177,1.37916,49.59837,,,,
60.277,1.37916,49.54128,,,,
