Strain : Tensile strain (Extension) gauge length,100,mm,,,,
,,,,,,
Time,Extension,Load,,,,
(s),(mm),(N),Low Start,Low End,High Start,High End
60.159,1.31288,30.43982,,,,
60.259,1.31288,30.40403,,,,
60.359,1.31288,30.36472,,,,
60.459,1.31288,30.33264,,,,
60.559,1.31288,30.29993,,,,
60.659,1.31288,30.26225,,,,
60.759,1.31288,30.22534,,,,
60.859,1.31288,30.19221,,,,
60.959,1.31288,30.16915,,,,
61.059,1.31288,30.14134,,,,
61.159,1.31288,30.10863,,,,
61.259,1.31288,30.08929,,,,
61.359,1.31288,30.06062,,,,
61.459,1.31288,30.03512,,,,
61.559,1.31288,30.00617,,,,
61.659,1.31288,29.98484,,,,
61.759,1.31288,29.96246,,,,
61.859,1.31288,29.93564,,,,
61.959,1.31288,29.91403,,,,
62.059,1.31288,29.8893,,,,
62.159,1.31288,29.86976,,,,
62.259,1.31288,29.84868,,,,
62.359,1.31288,29.81678,,,,
62.459,1.31288,29.80355,,,,
62.559,1.31288,29.78345,,,,
62.659,1.31288,29.76478,,,,
62.759,1.31288,29.74668,,,,
62.859,1.31288,29.7256,,,,
62.959,1.31288,29.70499,,,,
63.059,1.31288,29.68159,,,,
63.159,1.31288,29.67261,,,,
63.259,1.31288,29.65576,,,,
63.359,1.31288,29.63892,,,,
63.459,1.31288,29.61062,,,,
63.559,1.31288,29.59969,,,,
63.659,1.31288,29.57879,,,,
63.759,1.31288,29.56106,,,,
63.859,1.31288,29.54994,,,,
63.959,1.31288,29.52589,,,,
64.059,1.31288,29.51557,,,,
64.159,1.31288,29.50219,,,,
64.259,1.31288,29.47969,,,,
64.359,1.31288,29.46942,,,,
64.459,1.31288,29.45411,,,,
64.559,1.31288,29.44388,,,,
64.659,1.31288,29.42491,,,,
64.759,1.31288,29.411,,,,
64.859,1.31288,29.39293,,,,
64.959,1.31288,29.38428,,,,
65.059,1.31288,29.36827,,,,
65.159,1.31288,29.35378,,,,
65.259,1.31288,29.33651,,,,
65.359,1.31288,29.32507,,,,
65.459,1.31288,29.31329,,,,
65.559,1.31288,29.30613,,,,
65.659,1.31288,29.28463,,,,
65.759,1.31288,29.26668,,,,
65.859,1.31288,29.26639,,,,
65.959,1.31288,29.24459,,,,
66.059,1.31288,29.23042,,,,
66.159,1.31288,29.22364,,,,
66.259,1.31288,29.21808,,,,
66.359,1.31288,29.19794,,,,
66.459,1.31288,29.18936,,,,
66.559,1.31288,29.17452,,,,
66.659,1.31288,29.15791,,,,
66.759,1.31288,29.14992,,,,
66.859,1.31288,29.13715,,,,
66.959,1.31288,29.127,,,,
67.059,1.31288,29.11671,,,,
67.159,1.31288,29.10128,,,,
67.259,1.31288,29.09061,,,,
67.359,1.31288,29.08305,,,,
67.459,1.31288,29.06613,,,,
67.559,1.31288,29.05973,,,,
67.659,1.31288,29.04631,,,,
67.759,1.31288,29.04015,,,,
67.859,1.31288,29.02247,,,,
67.959,1.31288,29.02019,,,,
68.059,1.31288,29.0046,,,,
68.159,1.31288,28.99525,,,,
68.259,1.31288,28.99159,,,,
68.359,1.31288,28.9725,,,,
68.459,1.31288,28.96956,,,,
68.559,1.31288,28.95841,,,,
68.659,1.31288,28.94546,,,,
68.759,1.31288,28.9396,,,,
68.859,1.31288,28.93353,,,,
68.959,1.31288,28.91663,,,,
69.059,1.31288,28.90811,,,,
69.159,1.31288,28.89573,,,,
69.259,1.31288,28.89237,,,,
69.359,1.31288,28.87828,,,,
69.459,1.31288,28.86839,,,,
69.559,1.31288,28.8567,,,,
69.659,1.31288,28.85587,,,,
69.759,1.31288,28.84286,,,,
69.859,1.31288,28.83492,,,,
69.959,1.31288,28.82474,,,,
70.059,1.31288,28.81472,,,,
70.159,1.31288,28.80505,,,,
70.259,1.31288,28.8016,,,,
70.359,1.31288,28.78582,,,,
70.459,1.31288,28.77884,,,,
70.559,1.31288,28.76798,,,,
70.659,1.31288,28.75656,,,,
70.759,1.31288,28.753,,,,
70.859,1.31288,28.74519,,,,
70.959,1.31288,28.74174,,,,
71.059,1.31288,28.72674,,,,
71.159,1.31288,28.71848,,,,
71.259,1.31288,28.70883,,,,
71.359,1.31288,28.70377,,,,
71.459,1.31288,28.6933,,,,
71.559,1.31288,28.6822,,,,
71.659,1.31288,28.68001,,,,
71.759,1.31288,28.672,,,,
71.859,1.31288,28.66184,,,,
71.959,1.31288,28.65376,,,,
72.059,1.31288,28.64484,,,,
72.159,1.31288,28.63154,,,,
72.259,1.31288,28.62998,,,,
72.359,1.31288,28.62269,,,,
72.459,1.31288,28.61698,,,,
72.559,1.31288,28.61168,,,,
72.659,1.31288,28.59702,,,,
72.759,1.31288,28.585,,,,
72.859,1.31288,28.58445,,,,
72.959,1.31288,28.57303,,,,
73.059,1.31288,28.56617,,,,
73.159,1.31288,28.55839,,,,
73.259,1.31288,28.54727,,,,
73.359,1.31288,28.5509,,,,
73.459,1.31288,28.5369,,,,
73.559,1.31288,28.53394,,,,
73.659,1.31288,28.52317,,,,
73.759,1.31288,28.51831,,,,
73.859,1.31288,28.51043,,,,
73.959,1.31288,28.49817,,,,
74.059,1.31288,28.48863,,,,
