Strain : Tensile strain (Extension) gauge length,100,mm,,,,
,,,,,,
Time,Extension,Load,,,,
(s),(mm),(N),Low Start,Low End,High Start,High End
45.601,0.33765,0.51876,,,,
45.701,0.44125,1.38167,,,,
45.801,0.54518,3.14299,,,,
45.901,0.64851,6.06053,,,,
46.001,0.7526,10.30008,,,,
46.093,0.84757,15.31784,,,,
46.169,0.92682,20.31997,,,,
46.237,0.99704,25.37956,,,,
46.276,1.03735,28.53162,,,,
46.277,1.03838,28.61452,,,,
46.278,1.03942,28.69754,,,,
46.378,1.01665,25.03052,,,,
46.426,0.96284,19.97928,,,,
46.488,0.89722,14.93878,,,,
46.569,0.81254,9.9235,,,,
46.669,0.70876,5.59666,,,,
46.769,0.60517,2.81948,,,,
46.869,0.50128,1.21123,,,,
46.969,0.39787,0.44015,,,,
47.069,0.29378,0.1437,,,,
47.169,0.19036,0.07142,,,,
47.269,0.0862,0.04656,,,,
47.353,-0.00039,0.03783,,,,
47.354,-0.00143,0.03761,,,,
47.355,-0.00246,0.03735,,,,
47.455,0.02006,0.05631,,,,
47.555,0.12953,0.08655,,,,
47.655,0.23401,0.17674,,,,
47.755,0.33786,0.51474,,,,
47.855,0.4415,1.35831,,,,
47.955,0.54541,3.10526,,,,
48.055,0.64875,6.01023,,,,
48.155,0.75282,10.23173,,,,
48.247,0.84779,15.24959,,,,
48.324,0.92807,20.31844,,,,
48.392,0.9983,25.38989,,,,
48.43,1.03758,28.45908,,,,
48.431,1.03861,28.54168,,,,
48.432,1.03965,28.62421,,,,
48.532,1.01687,24.95926,,,,
48.58,0.96308,19.91313,,,,
48.642,0.89747,14.88206,,,,
48.723,0.81281,9.87576,,,,
48.823,0.70903,5.56428,,,,
48.923,0.60543,2.80369,,,,
49.023,0.50155,1.20459,,,,
49.123,0.39813,0.42782,,,,
49.223,0.29404,0.14661,,,,
49.323,0.19064,0.06689,,,,
49.423,0.08646,0.05292,,,,
49.507,-0.00012,0.03847,,,,
49.508,-0.00116,0.03858,,,,
49.509,-0.00219,0.03874,,,,
49.609,0.02042,0.06137,,,,
49.709,0.1298,0.08615,,,,
49.809,0.23429,0.16773,,,,
49.909,0.33812,0.50017,,,,
50.009,0.44175,1.34673,,,,
50.109,0.54566,3.07952,,,,
50.209,0.64901,5.97694,,,,
50.309,0.75308,10.18831,,,,
50.401,0.84805,15.1902,,,,
50.478,0.92833,20.25065,,,,
50.546,0.99855,25.32335,,,,
50.584,1.03782,28.39235,,,,
50.585,1.03885,28.47495,,,,
50.586,1.03988,28.55764,,,,
50.686,1.01717,24.90633,,,,
50.734,0.96337,19.86366,,,,
50.796,0.89775,14.83433,,,,
50.877,0.81307,9.82223,,,,
50.977,0.7093,5.52675,,,,
51.077,0.60571,2.78068,,,,
51.177,0.50182,1.17853,,,,
51.277,0.3984,0.42878,,,,
51.377,0.29432,0.13782,,,,
51.477,0.19091,0.06903,,,,
51.577,0.08674,0.04939,,,,
51.662,-0.00089,0.03547,,,,
51.663,-0.00193,0.03473,,,,
51.664,-0.00297,0.03404,,,,
51.764,0.01963,0.05314,,,,
51.864,0.12901,0.08075,,,,
51.964,0.23352,0.16552,,,,
52.064,0.33735,0.48854,,,,
52.164,0.44099,1.31866,,,,
52.264,0.54489,3.02755,,,,
52.364,0.64823,5.89519,,,,
52.464,0.75231,10.09143,,,,
52.557,0.84831,15.13075,,,,
52.634,0.92859,20.18528,,,,
52.702,0.99881,25.25794,,,,
52.739,1.03703,28.2318,,,,
52.74,1.03807,28.31395,,,,
52.741,1.0391,28.39624,,,,
52.841,1.0164,24.77279,,,,
52.889,0.9626,19.73759,,,,
52.951,0.89697,14.73144,,,,
53.033,0.81129,9.68944,,,,
53.133,0.70749,5.43338,,,,
53.233,0.6039,2.72501,,,,
53.333,0.49999,1.15477,,,,
53.433,0.3966,0.41424,,,,
53.533,0.29252,0.13903,,,,
53.633,0.18911,0.07447,,,,
53.733,0.08492,0.04579,,,,
53.816,-0.00062,0.0378,,,,
53.817,-0.00166,0.03782,,,,
53.818,-0.0027,0.03792,,,,
53.918,0.01992,0.051,,,,
54.018,0.12928,0.07656,,,,
54.118,0.23379,0.16482,,,,
54.218,0.33763,0.47557,,,,
54.318,0.44126,1.29733,,,,
54.418,0.54517,3.0114,,,,
54.518,0.6485,5.86053,,,,
54.618,0.75259,10.04745,,,,
54.711,0.84859,15.08212,,,,
54.788,0.92886,20.13917,,,,
54.856,0.9991,25.20884,,,,
54.893,1.03731,28.18202,,,,
54.894,1.03835,28.26412,,,,
54.895,1.03938,28.34623,,,,
54.995,1.0167,24.7284,,,,
55.043,0.96291,19.69418,,,,
55.105,0.89727,14.67779,,,,
55.187,0.81159,9.65365,,,,
55.287,0.70781,5.40064,,,,
55.387,0.60419,2.6997,,,,
55.487,0.50031,1.14181,,,,
55.587,0.3969,0.40845,,,,
55.687,0.29283,0.13914,,,,
55.787,0.18941,0.06879,,,,
55.887,0.08523,0.04389,,,,
55.97,-0.00031,0.0399,,,,
55.971,-0.00135,0.03937,,,,
55.972,-0.00239,0.03889,,,,
56.072,0.02018,0.05359,,,,
56.172,0.12956,0.07619,,,,
56.272,0.23407,0.16157,,,,
56.372,0.33792,0.48059,,,,
56.472,0.44152,1.28929,,,,
56.572,0.54546,2.98292,,,,
56.672,0.64879,5.83187,,,,
56.772,0.75287,10.00286,,,,
56.865,0.84887,15.03389,,,,
56.942,0.92913,20.08481,,,,
57.01,0.99938,25.15681,,,,
57.047,1.03759,28.13747,,,,
57.048,1.03862,28.22024,,,,
57.049,1.03966,28.30313,,,,
57.149,1.01699,24.68363,,,,
57.197,0.96317,19.64513,,,,
57.259,0.89754,14.64437,,,,
57.341,0.81188,9.61807,,,,
57.441,0.7081,5.38235,,,,
57.541,0.60448,2.6765,,,,
57.641,0.50061,1.13153,,,,
