Strain : Tensile strain (Extension) gauge length,100,mm,,,,
,,,,,,
Time,Extension,Load,,,,
(s),(mm),(N),Low Start,Low End,High Start ,High End
9.33,5.2285,209.19676,,,,
9.335,5.40799,190.70142,,,,
9.34,5.58744,173.94051,,,,
9.345,5.76685,159.58014,,,,
9.35,5.94623,147.74696,,,,
9.355,6.12556,138.16016,,,,
9.36,6.30483,130.46609,,,,
9.365,6.48405,124.37015,,,,
9.37,6.66323,119.66915,,,,
9.375,6.84238,116.17108,,,,
9.38,7.02152,113.61806,,,,
9.385,7.20062,111.71609,,,,
9.39,7.3797,110.13294,,,,
9.395,7.55878,108.63058,,,,
9.4,7.73787,107.14367,,,,
9.405,7.91696,105.69247,,,,
9.41,8.09607,104.27768,,,,
9.415,8.27519,102.91122,,,,
9.42,8.45431,101.5667,,,,
9.425,8.63343,100.19152,,,,
9.43,8.81253,98.76319,,,,
9.435,8.99163,97.28745,,,,
9.44,9.17072,95.80634,,,,
9.445,9.34979,94.40305,,,,
9.45,9.52884,93.09531,,,,
9.455,9.70787,91.84155,,,,
9.46,9.88687,90.58482,,,,
9.465,10.06585,89.32444,,,,
9.47,10.24481,88.09658,,,,
9.475,10.42377,86.95003,,,,
9.48,10.60275,85.91497,,,,
9.485,10.78173,84.94372,,,,
9.49,10.96072,84.00019,,,,
9.495,11.13971,83.06966,,,,
9.5,11.3187,82.11851,,,,
9.505,11.4977,81.12705,,,,
9.51,11.67669,80.10056,,,,
9.515,11.85569,79.06246,,,,
9.52,12.03469,77.9634,,,,
9.525,12.21369,76.76952,,,,
9.53,12.39268,75.50342,,,,
9.535,12.57165,74.2131,,,,
9.54,12.75063,72.91926,,,,
9.545,12.92962,71.62029,,,,
9.55,13.10862,70.30061,,,,
9.555,13.28762,69.00114,,,,
9.56,13.46663,67.7526,,,,
9.565,13.64564,66.56184,,,,
9.57,13.82464,65.41184,,,,
9.575,14.00365,64.24238,,,,
9.58,14.18265,63.00269,,,,
9.585,14.36167,61.71502,,,,
9.59,14.5407,60.34928,,,,
9.595,14.71971,58.84757,,,,
9.6,14.89872,57.22092,,,,
9.605,15.07772,55.46633,,,,
9.61,15.25671,53.57399,,,,
9.615,15.43569,51.51232,,,,
9.62,15.61469,49.27006,,,,
9.625,15.79369,46.88115,,,,
9.63,15.97271,44.40396,,,,
9.635,16.15172,41.87235,,,,
9.64,16.33073,39.2778,,,,
9.645,16.50972,36.56113,,,,
9.65,16.68871,33.73074,,,,
9.655,16.86769,30.81965,,,,
9.66,17.04666,27.86827,,,,
9.665,17.22566,24.90518,,,,
9.67,17.40466,21.94368,,,,
9.675,17.58366,18.97229,,,,
9.68,17.76267,16.06722,,,,
9.685,17.94169,13.33358,,,,
9.69,18.12074,10.86678,,,,
9.694,18.26398,9.11928,,,,
