Strain : Tensile strain (Extension) gauge length,"100.00000",mm

Time,Extension,Load
(s),(mm),(N)
"33.48500","0.83676","31.28760"
"33.53200","0.79314","26.19081"
"33.58700","0.74471","21.19028"
"33.65200","0.68873","16.18780"
"33.73100","0.62169","11.17360"
"33.83100","0.53616","6.24968"
"33.93100","0.45128","2.99687"
"34.03100","0.36588","1.16060"
"34.13100","0.28099","0.36923"
"34.23100","0.19565","0.13224"
"34.33100","0.11056","0.07426"
"34.43100","0.02554","0.05075"
"34.46100","-0.00015","0.04966"
"34.46200","-0.00101","0.04977"
"34.46300","-0.00186","0.04992"
"34.56300","0.01446","0.07649"
"34.66300","0.10524","0.11535"
"34.76300","0.19138","0.27291"
"34.86300","0.27645","0.87782"
"34.96300","0.36157","2.42387"
"35.06300","0.44686","5.29654"
"35.16300","0.53170","9.58561"
"35.25500","0.61039","14.63852"
"35.33500","0.67818","19.64900"
"35.40800","0.74062","24.69962"
"35.47600","0.79858","29.73801"
"35.53900","0.85194","34.57825"
"35.54000","0.85278","34.65698"
"35.54100","0.85363","34.73573"
"35.64100","0.83662","31.16070"
"35.68800","0.79298","26.07227"
"35.74400","0.74367","20.99379"
"35.81000","0.68686","15.95565"
"35.89000","0.61896","10.91958"
"35.99000","0.53342","6.05942"
"36.09000","0.44859","2.87462"
"36.19000","0.36314","1.09624"
"36.29000","0.27830","0.34483"
"36.39000","0.19294","0.12753"
"36.49000","0.10787","0.07890"
"36.59000","0.02281","0.05154"
"36.61700","-0.00030","0.05755"
"36.61800","-0.00116","0.05783"
"36.61900","-0.00201","0.05809"
"36.71900","0.01432","0.07727"
"36.81900","0.10508","0.11953"
"36.91900","0.19121","0.26558"
"37.01900","0.27628","0.85997"
"37.11900","0.36141","2.37431"
"37.21900","0.44670","5.22119"
"37.31900","0.53153","9.48662"
"37.41100","0.61023","14.53071"
"37.49100","0.67802","19.54210"
"37.56400","0.74045","24.56872"
"37.63200","0.79841","29.60349"
"37.69500","0.85177","34.45505"
"37.69600","0.85262","34.53332"
"37.69700","0.85346","34.61167"
"37.79700","0.83645","31.03842"
"37.84400","0.79285","25.95660"
"37.90000","0.74353","20.88882"
"37.96600","0.68672","15.86017"
"38.04600","0.61883","10.83718"
"38.14600","0.53330","5.99592"
"38.24600","0.44846","2.84312"
"38.34600","0.36301","1.06768"
"38.44600","0.27814","0.33931"
"38.54600","0.19281","0.12732"
"38.64600","0.10774","0.07265"
"38.74600","0.02268","0.05716"
"38.77300","-0.00043","0.05443"
"38.77400","-0.00128","0.05456"
"38.77500","-0.00214","0.05463"
"38.87500","0.01389","0.07455"
"38.97500","0.10487","0.12075"
"39.07500","0.19103","0.25788"
"39.17500","0.27611","0.84776"
"39.27500","0.36123","2.33406"
"39.37500","0.44653","5.15747"
"39.47500","0.53135","9.40735"
"39.56700","0.61005","14.43577"
"39.64800","0.67867","19.49163"
"39.72100","0.74112","24.53408"
"39.78900","0.79908","29.56464"
"39.85100","0.85159","34.32568"
"39.85200","0.85243","34.40402"
"39.85300","0.85328","34.48248"
"39.95300","0.83632","30.94051"
"40.00000","0.79269","25.85496"
"40.05600","0.74335","20.78911"
"40.12200","0.68655","15.75788"
"40.20300","0.61780","10.70778"
"40.30300","0.53226","5.89806"
"40.40300","0.44743","2.77662"
"40.50300","0.36198","1.03928"
"40.60300","0.27709","0.32250"
"40.70300","0.19178","0.12185"
"40.80300","0.10672","0.07307"
"40.90300","0.02165","0.05548"
"40.92900","-0.00061","0.04655"
"40.93000","-0.00146","0.04661"
"40.93100","-0.00232","0.04672"
"41.03100","0.01395","0.07495"
"41.13100","0.10471","0.12320"
"41.23100","0.19085","0.25481"
"41.33100","0.27595","0.82612"
"41.43100","0.36105","2.29501"
"41.53100","0.44634","5.09297"
"41.63100","0.53118","9.32120"
"41.72300","0.60986","14.33180"
"41.80400","0.67849","19.39154"
"41.87700","0.74093","24.41739"
"41.94500","0.79889","29.45138"
"42.00800","0.85225","34.30349"
"42.00900","0.85310","34.38218"
"42.01000","0.85395","34.46088"
"42.11000","0.83704","30.91560"
"42.15700","0.79338","25.82113"
"42.21300","0.74402","20.76085"
"42.27900","0.68720","15.73340"
"42.36000","0.61845","10.68357"
"42.46000","0.53294","5.87802"
"42.56000","0.44808","2.75990"
"42.66000","0.36263","1.02584"
"42.76000","0.27775","0.31810"
"42.86000","0.19248","0.12002"
"42.96000","0.10737","0.08070"
"43.06000","0.02231","0.05778"
"43.08700","-0.00080","0.05453"
"43.08800","-0.00166","0.05434"
"43.08900","-0.00251","0.05415"
"43.18900","0.01352","0.07367"
"43.28900","0.10449","0.11659"
"43.38900","0.19066","0.24768"
"43.48900","0.27575","0.79791"
"43.58900","0.36085","2.25446"
"43.68900","0.44615","5.03205"
"43.78900","0.53098","9.24097"
"43.88200","0.61051","14.29742"
"43.96300","0.67916","19.35236"
"44.03600","0.74159","24.38738"
"44.10400","0.79954","29.40580"
"44.16600","0.85206","34.18519"
"44.16700","0.85291","34.26388"
"44.16800","0.85375","34.34259"
"44.26800","0.83681","30.80067"
"44.31500","0.79317","25.72097"
"44.37100","0.74382","20.67370"
"44.43700","0.68700","15.65182"
"44.51800","0.61825","10.60143"
"44.61800","0.53274","5.81910"
"44.71800","0.44790","2.71508"
"44.81800","0.36242","1.00678"
"44.91800","0.27756","0.31104"
"45.01800","0.19232","0.12000"
"45.11800","0.10718","0.07019"
"45.21800","0.02212","0.05462"
"45.24400","-0.00014","0.05216"
"45.24500","-0.00100","0.05196"
"45.24600","-0.00185","0.05185"
"45.34600","0.01414","0.07281"
"45.44600","0.10517","0.11441"
"45.54600","0.19132","0.24560"
"45.64600","0.27642","0.78120"
"45.74600","0.36153","2.23913"
"45.84600","0.44681","5.00609"
"45.94600","0.53166","9.20062"
"46.03800","0.61033","14.20455"
"46.11900","0.67898","19.24351"
"46.19200","0.74141","24.27290"
"46.26000","0.79937","29.29757"
"46.32200","0.85189","34.06652"
"46.32300","0.85274","34.14512"
"46.32400","0.85358","34.22369"
"46.42400","0.83668","30.69486"
"46.47100","0.79300","25.61552"
"46.52700","0.74365","20.57648"
"46.59300","0.68683","15.56739"
"46.67400","0.61806","10.53397"
"46.77400","0.53258","5.77048"
"46.87400","0.44771","2.68102"
"46.97400","0.36225","0.98586"
"47.07400","0.27739","0.30383"
"47.17400","0.19213","0.12379"
"47.27400","0.10698","0.07405"
"47.37400","0.02194","0.05836"
"47.40000","-0.00033","0.04498"
"47.40100","-0.00118","0.04475"
"47.40200","-0.00204","0.04457"
"47.50200","0.01399","0.07212"
"47.60200","0.10501","0.11109"
"47.70200","0.19115","0.24732"
"47.80200","0.27625","0.76892"
